t,q,t_model,q_model
2017-05-01,566.0,2017-07-01,4694.206583117645
2017-06-01,8133.0,2017-08-01,3252.570469153696
2017-07-01,4520.0,2017-09-01,2449.197518404773
2017-08-01,3825.0,2017-10-01,1943.3795188976264
2017-09-01,2498.0,2017-11-01,1598.5616367998402
2017-10-01,1688.0,2017-12-01,1349.9579827941361
2017-11-01,1158.0,2018-01-01,1163.1010615114783
2017-12-01,1326.0,2018-02-01,1018.0593029481606
2018-01-01,486.0,2018-03-01,902.5504762717582
2018-02-01,982.0,2018-04-01,808.6167638559325
2018-03-01,1059.0,2018-05-01,730.888411911109
2018-04-01,771.0,2018-06-01,665.6182104217714
2018-05-01,623.0,2018-07-01,610.1162436403574
2018-06-01,659.0,2018-08-01,562.4044283094446
2018-07-01,446.0,2018-09-01,520.9975273981502
2018-08-01,1122.0,2018-10-01,484.75990810710215
2018-09-01,1155.0,2018-11-01,452.8092518789501
2018-10-01,1072.0,2018-12-01,424.45025641809485
2018-11-01,800.0,2019-01-01,399.1280093213295
2018-12-01,592.0,2019-02-01,376.3945704592406
2019-01-01,664.0,2019-03-01,355.8846113778394
2019-02-01,448.0,2019-04-01,337.2973830639885
2019-03-01,529.0,2019-05-01,320.38318145297825
2019-04-01,371.0,2019-06-01,304.933059455643
2019-05-01,193.0,2019-07-01,290.7709156869463
2019-06-01,15.0,2019-08-01,277.74734578516836
2019-07-01,45.0,2019-09-01,265.7348165417599
2019-08-01,66.0,2019-10-01,254.62384375685627
2019-09-01,149.0,2019-11-01,244.31993949042413
2019-10-01,165.0,2019-12-01,234.74115468231466
2019-11-01,186.0,2020-01-01,225.81608654599006
2019-12-01,149.0,2020-02-01,217.48225177719075
2020-01-01,123.0,2020-03-01,209.68474990835074
2020-02-01,455.0,2020-04-01,202.37515845463358
2020-03-01,223.0,2020-05-01,195.5106144904314
2020-04-01,360.0,2020-06-01,189.0530471300237
2020-05-01,421.0,2020-07-01,182.9685328916076
2020-06-01,452.0,2020-08-01,177.22675169611202
2020-07-01,584.0,2020-09-01,171.800525723821
2020-08-01,415.0,2020-10-01,166.66542683984125
2020-09-01,357.0,2020-11-01,161.79944103801736
2020-10-01,92.0,2020-12-01,157.18268051639726
2020-11-01,44.0,2021-01-01,152.79713571661276
2020-12-01,28.0,2021-02-01,148.62646103344125
2021-01-01,0.0,2021-03-01,144.65578900458956
2021-02-01,0.0,2021-04-01,140.87156868201464
2021-03-01,38.0,2021-05-01,137.26142460926928
2021-04-01,0.0,2021-06-01,133.81403341887176
2021-05-01,13.0,2021-07-01,130.51901554637027
2021-06-01,0.0,2021-08-01,127.3668399546619
2021-07-01,200.0,2021-09-01,124.34874008979521
2021-08-01,44.0,2021-10-01,121.45663956107109
2021-09-01,7.0,2021-11-01,118.68308626419699
2021-10-01,0.0,2021-12-01,116.02119385489684
2021-11-01,0.0,2022-01-01,113.4645896384311
2021-12-01,3.0,2022-02-01,111.00736807334395
2022-01-01,3.0,2022-03-01,108.64404919979853
2022-02-01,0.0,2022-04-01,106.36954139764222
2022-03-01,13.0,2022-05-01,104.17910795976114
2022-04-01,0.0,2022-06-01,102.06833703470646
2022-05-01,144.0,2022-07-01,100.0331145509607
2022-06-01,13.0,2022-08-01,98.06959978516032
2022-07-01,137.0,2022-09-01,96.1742032794361
2022-08-01,5.0,2022-10-01,94.34356684987527
2022-09-01,5.0,2022-11-01,92.57454545986737
2022-10-01,0.0,2022-12-01,90.86419075953592
2022-11-01,0.0,2023-01-01,89.20973611622057
2022-12-01,0.0,2023-02-01,87.60858298159833
2023-01-01,0.0,2023-03-01,86.05828845897045
2023-02-01,0.0,2023-04-01,84.55655394987521
2023-03-01,0.0,2023-05-01,83.10121477284125
2023-04-01,0.0,2023-06-01,81.69023065904268
2023-05-01,0.0,2023-07-01,80.32167704009278
,,2023-08-01,78.99373705241146
,,2023-09-01,77.7046941906981
,,2023-10-01,76.45292555017573
,,2023-11-01,75.23689560357255
,,2023-12-01,74.05515046437881
,,2024-01-01,72.90631259285243
,,2024-02-01,71.78907590562527
,,2024-03-01,70.70220125365367
,,2024-04-01,69.6445122367185
,,2024-05-01,68.61489132576668
,,2024-06-01,67.61227626713934
,,2024-07-01,66.63565674519327
,,2024-08-01,65.68407128202509
,,2024-09-01,64.75660435498033
,,2024-10-01,63.85238371440141
,,2024-11-01,62.97057788565877
,,2024-12-01,62.11039384093996
,,2025-01-01,61.27107482756094
,,2025-02-01,60.45189834072459
,,2025-03-01,59.65217422970115
,,2025-04-01,58.871242927351645
,,2025-05-01,58.10847379377394
,,2025-06-01,57.36326356562636
,,2025-07-01,56.635034903388124
,,2025-08-01,55.92323502945443
,,2025-09-01,55.22733445054427
,,2025-10-01,54.54682575842628
,,2025-11-01,53.88122250344899
,,2025-12-01,53.23005813579815
,,2026-01-01,52.5928850098038
,,2026-02-01,51.96927344698323
,,2026-03-01,51.35881085383903
,,2026-04-01,50.76110089073517
,,2026-05-01,50.17576268845287
,,2026-06-01,49.60243010928258
,,2026-07-01,49.04075104974217
,,2026-08-01,48.49038678222606
,,2026-09-01,47.951011333086385
