t,q,t_model,q_model
2016-02-01,790.0,2017-02-01,849.7018704597942
2016-03-01,1138.0,2017-03-01,558.6131534536212
2016-04-01,280.0,2017-04-01,452.5690646624405
2016-05-01,18.0,2017-05-01,392.7811062569856
2016-06-01,0.0,2017-06-01,352.9439511229275
2016-07-01,228.0,2017-07-01,323.88313261030135
2016-08-01,517.0,2017-08-01,301.4348197608282
2016-09-01,200.0,2017-09-01,283.3950970540666
2016-10-01,1070.0,2017-10-01,268.471858251323
2016-11-01,1780.0,2017-11-01,255.84993807069037
2016-12-01,1992.0,2017-12-01,244.98581057381082
2017-01-01,1922.0,2018-01-01,235.50103207205825
2017-02-01,906.0,2018-02-01,227.12275578888358
2017-03-01,466.0,2018-03-01,219.6485444802781
2017-04-01,234.0,2018-04-01,212.9245495832346
2017-05-01,141.0,2018-05-01,206.83143716424627
2017-06-01,85.0,2018-06-01,201.27500372929032
2017-07-01,344.0,2018-07-01,196.17973831172776
2017-08-01,254.0,2018-08-01,191.48429536823426
2017-09-01,431.0,2018-09-01,187.13824173554823
2017-10-01,477.0,2018-10-01,183.0996740040384
2017-11-01,635.0,2018-11-01,179.3334434916978
2017-12-01,610.0,2018-12-01,175.80981358359045
2018-01-01,549.0,2019-01-01,172.50343009093922
2018-02-01,393.0,2019-02-01,169.39252178163102
2018-03-01,347.0,2019-03-01,166.45827256872866
2018-04-01,220.0,2019-04-01,163.68432337721427
2018-05-01,224.0,2019-05-01,161.0563731366663
2018-06-01,69.0,2019-06-01,158.56185637054404
2018-07-01,78.0,2019-07-01,156.1896805670622
2018-08-01,159.0,2019-08-01,153.9300106408764
2018-09-01,174.0,2019-09-01,151.7740908080748
2018-10-01,236.0,2019-10-01,149.71409642367266
2018-11-01,261.0,2019-11-01,147.7430099937059
2018-12-01,289.0,2019-12-01,145.85451682814465
2019-01-01,422.0,2020-01-01,144.04291675541228
2019-02-01,375.0,2020-02-01,142.30304905213146
2019-03-01,428.0,2020-03-01,140.63022830889275
2019-04-01,285.0,2020-04-01,139.0201893951465
2019-05-01,314.0,2020-05-01,137.4690400337247
2019-06-01,270.0,2020-06-01,135.97321977021508
2019-07-01,186.0,2020-07-01,134.52946434103615
2019-08-01,175.0,2020-08-01,133.13477461910517
2019-09-01,92.0,2020-09-01,131.78638945694627
2019-10-01,72.0,2020-10-01,130.48176186120844
2019-11-01,116.0,2020-11-01,129.21853802544362
2019-12-01,97.0,2020-12-01,127.99453882395657
2020-01-01,112.0,2021-01-01,126.8077434319592
2020-02-01,231.0,2021-02-01,125.65627478878257
2020-03-01,116.0,2021-03-01,124.53838666360915
2020-04-01,79.0,2021-04-01,123.45245211873575
2020-05-01,103.0,2021-05-01,122.39695319508157
2020-06-01,72.0,2021-06-01,121.37047166957124
2020-07-01,74.0,2021-07-01,120.37168075499484
2020-08-01,11.0,2021-08-01,119.39933763066172
2020-09-01,17.0,2021-09-01,118.45227670717951
2020-10-01,0.0,2021-10-01,117.5294035414533
2020-11-01,0.0,2021-11-01,116.62968932888664
2020-12-01,0.0,2021-12-01,115.75216590907652
2021-01-01,0.0,2022-01-01,114.89592122928167
2021-02-01,0.0,2022-02-01,114.0600952168132
2021-03-01,0.0,2022-03-01,113.24387601742117
2021-04-01,0.0,2022-04-01,112.44649656187347
2021-05-01,0.0,2022-05-01,111.66723142736265
2021-06-01,0.0,2022-06-01,110.90539396423536
2021-07-01,0.0,2022-07-01,110.16033366189674
2021-08-01,0.0,2022-08-01,109.4314337306758
2021-09-01,0.0,2022-09-01,108.71810887900088
2021-10-01,0.0,2022-10-01,108.01980326748345
2021-11-01,0.0,2022-11-01,107.33598862348184
,,2022-12-01,106.66616250145456
,,2023-01-01,106.00984667594432
,,2023-02-01,105.36658565538723
,,2023-03-01,104.73594530613933
,,2023-04-01,104.11751157717353
,,2023-05-01,103.51088931684353
,,2023-06-01,102.9157011739487
,,2023-07-01,102.3315865760819
,,2023-08-01,101.75820077890778
,,2023-09-01,101.19521398061515
,,2023-10-01,100.64231049632009
,,2023-11-01,100.09918798767387
,,2023-12-01,99.56555674335871
,,2024-01-01,99.0411390065397
,,2024-02-01,98.52566834568812
,,2024-03-01,98.0188890655037
,,2024-04-01,97.52055565494511
,,2024-05-01,97.0304322696336
,,2024-06-01,96.5482922461236
,,2024-07-01,96.07391764574413
,,2024-08-01,95.60709882590331
,,2024-09-01,95.14763403691948
,,2024-10-01,94.6953290425999
,,2024-11-01,94.24999676292758
,,2024-12-01,93.81145693734862
,,2025-01-01,93.37953580726773
,,2025-02-01,92.95406581646873
,,2025-03-01,92.53488532827404
