t,q,t_model,q_model
2018-10-01,20559.0,2018-12-01,9741.393360701635
2018-11-01,15265.0,2019-01-01,8059.192839701771
2018-12-01,9967.0,2019-02-01,6789.89241280378
2019-01-01,7948.0,2019-03-01,5806.983325559996
2019-02-01,6713.0,2019-04-01,5029.2690100873115
2019-03-01,4905.0,2019-05-01,4402.616671126163
2019-04-01,6075.0,2019-06-01,3889.7649283056985
2019-05-01,3502.0,2019-07-01,3464.3571533434542
2019-06-01,3752.0,2019-08-01,3107.3065460981147
2019-07-01,4079.0,2019-09-01,2804.5045704061467
2019-08-01,3118.0,2019-10-01,2545.3326441740287
2019-09-01,3551.0,2019-11-01,2321.669950083533
2019-10-01,2517.0,2019-12-01,2127.2165299525427
2019-11-01,2865.0,2020-01-01,1957.0218707017568
2019-12-01,2650.0,2020-02-01,1807.1504811598763
2020-01-01,1295.0,2020-03-01,1674.4406655990379
2020-02-01,1665.0,2020-04-01,1556.3278736118841
2020-03-01,1480.0,2020-05-01,1450.7135466527388
2020-04-01,1264.0,2020-06-01,1355.8665096772029
2020-05-01,1340.0,2020-07-01,1270.3479696519653
2020-06-01,1339.0,2020-08-01,1192.953858177623
2020-07-01,1332.0,2020-09-01,1122.6700683997349
2020-08-01,1196.0,2020-10-01,1058.637383467458
2020-09-01,1038.0,2020-11-01,1000.1237636636102
2020-10-01,1002.0,2020-12-01,946.5022739576552
2020-11-01,963.0,2021-01-01,897.2333732607427
2020-12-01,812.0,2021-02-01,851.8506045123786
2021-01-01,808.0,2021-03-01,809.9489570048202
2021-02-01,500.0,2021-04-01,771.1753437657188
2021-03-01,868.0,2021-05-01,735.2207644895418
2021-04-01,735.0,2021-06-01,701.8138204247656
2021-05-01,845.0,2021-07-01,670.7153202752213
2021-06-01,793.0,2021-08-01,641.7137716292818
2021-07-01,641.0,2021-09-01,614.621595069793
2021-08-01,622.0,2021-10-01,589.2719311298423
2021-09-01,610.0,2021-11-01,565.515935986204
2021-10-01,754.0,2021-12-01,543.220481956563
2021-11-01,903.0,2022-01-01,522.2661947806614
2021-12-01,393.0,2022-02-01,502.5457722899255
2022-01-01,529.0,2022-03-01,483.9625391388771
2022-02-01,462.0,2022-04-01,466.4292003433628
2022-03-01,406.0,2022-05-01,449.86676287322564
2022-04-01,384.0,2022-06-01,434.2035998101431
2022-05-01,445.0,2022-07-01,419.37463586038695
2022-06-01,353.0,2022-08-01,405.3206365062182
2022-07-01,429.0,2022-09-01,391.9875859443384
2022-08-01,602.0,2022-10-01,379.32614131792445
2022-09-01,534.0,2022-11-01,367.291152697269
2022-10-01,404.0,2022-12-01,355.84123987997447
2022-11-01,403.0,2023-01-01,344.93841842650824
2022-12-01,256.0,2023-02-01,334.5477684699761
2023-01-01,294.0,2023-03-01,324.6371407798762
2023-02-01,322.0,2023-04-01,315.1768953503728
2023-03-01,325.0,2023-05-01,306.1396684502699
2023-04-01,297.0,2023-06-01,297.50016463548917
2023-05-01,218.0,2023-07-01,289.23497070275874
,,2023-08-01,281.32238896953027
,,2023-09-01,273.7422876115132
,,2023-10-01,266.4759660852484
,,2023-11-01,259.50603391677714
,,2023-12-01,252.81630135529858
,,2024-01-01,246.39168057823542
,,2024-02-01,240.21809629592767
,,2024-03-01,234.28240474408196
,,2024-04-01,228.57232017334513
,,2024-05-01,223.07634805064507
,,2024-06-01,217.7837242785438
,,2024-07-01,212.68435981870536
,,2024-08-01,207.7687901753293
,,2024-09-01,203.02812925544194
,,2024-10-01,198.45402717644058
,,2024-11-01,194.03863163827802
,,2024-12-01,189.77455251900795
,,2025-01-01,185.65482938883446
,,2025-02-01,181.67290166995298
,,2025-03-01,177.82258119788315
,,2025-04-01,174.09802696515226
,,2025-05-01,170.493721850488
,,2025-06-01,167.00445115648705
,,2025-07-01,163.62528279633457
,,2025-08-01,160.35154898583005
,,2025-09-01,157.17882931095974
,,2025-10-01,154.1029350537367
,,2025-11-01,151.11989467019256
,,2025-12-01,148.22594032439352
,,2026-01-01,145.41749539130905
,,2026-02-01,142.69116284939503
,,2026-03-01,140.0437144909716
,,2026-04-01,137.47208088496998
,,2026-05-01,134.97334203246655
,,2026-06-01,132.54471866069605
,,2026-07-01,130.1835641059888
,,2026-08-01,127.88735674037666
,,2026-09-01,125.65369290049605
