t,q,t_model,q_model
2021-10-01,13769.0,2022-02-01,11981.1175994441
2021-11-01,22556.0,2022-03-01,6817.378254195593
2021-12-01,25704.0,2022-04-01,5441.014276402064
2022-01-01,19812.0,2022-05-01,4713.852422363476
2022-02-01,11869.0,2022-06-01,4242.141043126855
2022-03-01,8247.0,2022-07-01,3902.681298996002
2022-04-01,6526.0,2022-08-01,3642.4521489675067
2022-05-01,321.0,2022-09-01,3434.2597602415176
2022-06-01,4151.0,2022-10-01,3262.4865405998107
2022-07-01,3577.0,2022-11-01,3117.4202300694205
2022-08-01,2727.0,2022-12-01,2992.652257131929
2022-09-01,3421.0,2023-01-01,2883.755225139533
2022-10-01,5928.0,2023-02-01,2787.5561470379794
2022-11-01,3772.0,2023-03-01,2701.7117759933813
2022-12-01,3013.0,2023-04-01,2624.4478099296116
2023-01-01,3184.0,2023-05-01,2554.3920072943747
2023-02-01,706.0,2023-06-01,2490.4636336498593
2023-03-01,6635.0,2023-07-01,2431.7980263202066
2023-04-01,1574.0,2023-08-01,2377.693788630024
2023-05-01,1657.0,2023-09-01,2327.574990554924
,,2023-10-01,2280.963573696952
,,2023-11-01,2237.4588508409847
,,2023-12-01,2196.722036399049
,,2024-01-01,2158.4644080164244
,,2024-02-01,2122.438131175553
,,2024-03-01,2088.4290651875685
,,2024-04-01,2056.2510629373537
,,2024-05-01,2025.7414103787412
,,2024-06-01,1996.7571453208398
,,2024-07-01,1969.1720614977205
,,2024-08-01,1942.8742517606988
,,2024-09-01,1917.7640791160763
,,2024-10-01,1893.7524900591682
,,2024-11-01,1870.759603835442
,,2024-12-01,1848.7135257017583
,,2025-01-01,1827.5493432373232
,,2025-02-01,1807.2082731698113
,,2025-03-01,1787.6369326876613
,,2025-04-01,1768.7867142773162
,,2025-05-01,1750.613247100587
,,2025-06-01,1733.0759310688647
,,2025-07-01,1716.1375322689278
,,2025-08-01,1699.7638303935992
,,2025-09-01,1683.9233104386888
,,2025-10-01,1668.586892228876
,,2025-11-01,1653.7276923935563
,,2025-12-01,1639.3208142788208
,,2026-01-01,1625.3431619922762
,,2026-02-01,1611.7732753636485
,,2026-03-01,1598.5911830898506
,,2026-04-01,1585.7782717373614
,,2026-05-01,1573.3171686123567
,,2026-06-01,1561.191636792116
,,2026-07-01,1549.3864808494423
,,2026-08-01,1537.887462003006
,,2026-09-01,1526.6812215969753
