TVD,Northing,Easting
0,0,0
194.9923335,1.424977479,-0.460255172
283.9838901,2.615295493,-0.733651186
378.9740801,3.857992105,-1.251383091
473.9628721,5.112759187,-1.989014909
569.9516168,6.331866178,-2.799475693
664.9470788,6.949854288,-3.313998617
759.9470397,6.966955573,-3.241372055
854.9469845,6.915193561,-3.197466911
950.9462992,6.866824519,-3.518936263
1045.943681,6.6225396,-4.158594283
1140.939649,6.173515189,-4.907968689
1236.937272,6.169325625,-5.541587437
1331.935006,6.556891888,-6.06916187
1426.934072,6.764863066,-6.368839391
1521.933916,6.88104586,-6.275192092
1616.93368,6.987412239,-6.107580537
1712.933343,6.778168213,-6.120666951
1807.932552,6.769286896,-6.428287685
1902.931177,6.810561014,-6.899106562
1997.92948,6.657341284,-7.439313836
2093.927691,6.619075673,-8.023915934
2188.926637,6.783445079,-8.401789727
2283.925986,6.889176373,-8.686930103
2379.925354,6.863075425,-9.020633941
2474.925081,6.965829022,-9.219265927
2569.924861,6.90636934,-9.3961821
2664.924741,6.843595171,-9.443056418
2759.924486,6.826449524,-9.586276469
2855.924,6.878801116,-9.523856354
2950.919903,7.045115059,-8.675976883
3045.915126,7.114461988,-7.734334639
3141.912469,7.340201983,-7.06913535
3236.910998,7.635549588,-6.648869208
3331.910421,7.928366114,-6.548099681
3427.909436,8.362298183,-6.567121445
3522.908845,8.645173804,-6.426898155
3617.908147,8.8614008,-6.137820297
3712.907192,9.20605649,-5.891889013
3807.906845,9.24970179,-5.954522946
3903.905902,9.041223298,-6.319580381
3998.905436,9.002466994,-6.601256753
4093.90537,8.943616562,-6.666182506
4189.905118,8.777345646,-6.537998036
4284.904673,8.539206639,-6.576167097
4379.903997,8.359441847,-6.878843875
4474.903735,8.35177724,-7.095134494
4569.902956,8.417440809,-7.452870055
4663.899503,8.501428318,-8.243798775
4758.894055,8.409000031,-9.251618979
4853.888536,8.246484135,-10.26060064
4949.882951,8.093481026,-11.28314748
5044.881097,7.968612317,-11.78174361
5139.880941,8.014329041,-11.63969348
5234.8807,8.015695749,-11.43764212
5329.879279,8.291327071,-11.07652653
5424.874132,9.188212852,-10.71263954
5519.86788,10.27484763,-10.71588766
5602.86431,11.02552488,-10.86488353
5716.861543,11.53096931,-11.41948404
5812.858106,11.62784755,-12.22423265
5907.854042,11.68906364,-13.1007628
6002.848535,11.77792356,-14.11656927
6097.838414,11.75291901,-15.49501161
6192.834891,11.76018619,-16.017765
6287.833857,11.83771025,-15.59096595
6383.83345,12.03827439,-15.50758694
6478.83169,12.5099302,-15.82307175
6510.829187,12.73176844,-16.14342924
6542.794784,13.41800641,-17.3619174
6573.62577,14.99115017,-20.1262591
6605.173603,17.67728865,-24.72674063
6636.330485,21.41691589,-30.96835415
6666.072727,25.89199605,-38.46195397
6696.279672,31.19950184,-47.58139207
6725.846426,37.2385986,-58.21138664
6753.665962,43.89587057,-70.14473481
6781.352117,51.57432168,-84.21915055
6807.893943,59.9792091,-99.98410105
6833.382075,68.94764694,-117.1222254
6857.139431,78.19239479,-134.7556761
6880.725259,88.48730306,-153.770532
6903.376583,99.39858734,-173.5620091
6925.072201,110.6576519,-194.2113762
6945.073326,121.8668403,-215.0710483
6964.493967,133.8420772,-237.5034764
6982.684156,146.2698045,-260.7090613
6999.112477,158.8197631,-283.8049932
7014.847146,172.3671159,-308.1511602
7029.436074,186.4216204,-332.9199993
7042.480207,200.5446044,-357.2358738
7051.840154,211.8855046,-376.2024065
7089.013277,268.5799549,-467.7831295
7097.216686,284.4831725,-493.0962195
7109.682912,311.7638179,-536.7883083
